暗殺者協會	首領 往下為各大部門的部長 \n分別是 暗殺 情報 執法 三大部門，然後皆有各自的詳細劃分。\n其中暗殺情價碼主要由情報部門的提供為主，上至貴族、下治平民大多皆願意接單。\n公認不接單的是三大議會的有席次之名的人物。
傭兵協會	是少數地上 地下皆有的組織，地上地下皆為同一會長。\n在各地界有各地的分公會，以s aｂc d e劃分傭兵實力，同時鼓勵組成團隊進行接任務，\n會介入國家戰爭（如果有國家扈用），若傭兵間有衝突大多會間給公會進行仲裁，\n同時上位等級的傭兵能調查下位傭兵的資料，\n下位傭兵能藉由定期給付訂金給公會避免被一定等級以上的傭兵調查資料
盜賊協會	最高的領袖為協會長（實為安姆飛賊之會長），  接下來即為各部部長（任務分配部 、刑罰部、資格審核部、情報交換部）\n接下來是各級的成員等級劃分大師、 專家、 好手、 學徒。\n同時偷竊的目標也是藉由情報交換資料為評估，\n與暗殺者協會一樣不接三大議會的有席次之名的人物其擁有之物品
安道爾	以奈瑟殘存的王族（自稱）作為虛位帝王，內分上下議院。\n下議院遊各省人民選出，而上議院則由貴族、王室組成同時採世襲制度，下議院有實權能夠影響司法等相關事務，而上議院僅處理王族事務。\n下議院實質上幾乎被法師所把持，其原由為施法者的投票與其實公民不等值，因此國家實際的政策走向與影響主要以法師所控制。\n位於大陸中心的世界第一強國，奈瑟的繼承者自居，目前控有的領地與曾經的奈瑟帝國有8成相似。\n有簽訂和平協約的國家為盧森堡、扶桑、烏爾諾。
盧森堡	具有特殊的冰川地形及大量的針葉林地帶，是大陸上木材、紙張、天然氣及冰元素魔晶石等特殊礦產的主要出口地。\n存在地域性質的凱爾特、北歐及希臘信仰，據傳言此信仰來源自其他位面，經由傳教士、牧師與德魯伊將其傳播至與原位面相似之地域。\n此外因其信仰常與荒野、橡樹、雷鳴等自然萬物有著相互呼應、連結的關係，境內可以說是有著大陸上最多的德魯伊與各式結社。\n魔法物品中極為特殊的流派符文刻劃也是源自此地，故吸引著大量的冒險者湧入希望能習得此技藝。\n在極北之地存在禁忌之地又稱生命禁區，傳聞中任何智慧生命的踏入都會導致自身的毀滅。\n其行政地區主要由信仰區域與德魯伊結社範圍劃分，該區內以民主投票方式產生行政、立法、司法人員。
席森	其帝國王都布魯威克以卡巴拉系統生命樹做為系統設計，其中王冠區域為皇宮之所在。\n境內有相當多特殊或是唯一性質的煉金、物質轉化技術，這些技藝傳言來自機械規律界，吸引不少煉金師或是變化系法師於此駐足。\n王族的血統中據傳言流著月精靈的血派，且每一任的執政領袖必為女王，執政年時間往往長達百年以上，並熱愛著音樂、藝文活動。\n大陸上少數與永聚島有著長期貿易與外交來往的國家。
普利亞	境內的上空中有無數殘破的島嶼漂浮，其分布最高密集處為與安道爾的國境交界處，又有星空之地的別名。\n國境內部有著分布不規律的特殊礦物－－以太星石，主要用於空挺及飛行的魔法物品作為核心及燃料的用途。 \n因以太星石的盛產與大量開採，使飛行用具普及，導致許多傭兵團、冒險者嘗試探索漂浮於空中的島嶼及各式神秘的遺跡，甚至部分小島嶼被開發成補給地與商業城市。 \n其帝國王室麥託奧拉（Meteora）自稱為星空之民、受星空祝福之人，據傳聞擁有操控天上島嶼的能力，並積極地將大量施法人才投入在以太星石的研究。
扶桑	奉天皇為虛位元首，同時宣稱天皇為太陽神的神子，天皇之繼承人當前開放位可以為長男或是長女，以嫡長子繼承優先，若無男子繼承則為長女。\n底下武官方面以幕府將軍做為統領各地軍隊的實質領袖，文職則以藤原一氏把持大部分的核心官職。\n陰陽寮體系獨立於武職與文職系統外，由上至下的階級為陰陽頭、陰陽助、陰陽大允、陰陽少允、陰陽師、陰陽博士、陰陽生、陰陽得業生、直丁。\n以九品法來作為推薦人才、官等的區分。\n平民的翻身方法大多透過經商、從軍、晉升法術學院、陰陽寮居多數。
烏爾諾	以十二個家族組成烏爾諾聯合議會，其中議員共有十二位核心議員，每個家族的族長擔任之。\n主要為半身人、矮人、人類三個種族佔據大宗，各自種族各有四位核心議員，並各自占有烏爾諾的主要大城。\n人類的領袖家族為麥迪契，矮人為索瑞森，半身人為翠瓦。\n此國家所控有之重要海港也是位居世界之冠，藉此賺入龐大的外匯。
托瓦	以奧斯維克家族為領袖作為貴族領袖，其族長同時身為帝國皇帝，向下則分為貴族門閥與國務省。\n貴族門閥為各貴族長子自行繼承，而國務省中核心大臣則是由皇帝所指派。\n國務省又細分為皇帝幕僚、司法省、財務省、軍務省、學藝省、宮內省、內務省。\n經濟上則是以魔法礦物、礦產出口聞名。\n特有的制度為軍法巡迴，軍事演練和司法合一的制度。\n以月為單位，國王手下的將軍輪流帶兵巡迴於各個城鎮之間，以達訓練士兵體能、作戰及展現軍勢等多重目的。\n此制度同時有”巡迴法庭”功能，由將軍、隨軍法師或秘書官組成合議庭，是為特殊救濟手段。
