神治紀元	史前	低等神力與半神能進入主位面、史料不齊全。\n奈瑟帝國的崩毀為動盪紀元的開始。
大陸曆起始
動盪紀元	大陸曆起始	第一次魔網崩毀（原因不明）、有神格者皆無法進入主位面。
	200~300年間	第一次全大陸戰爭引爆，時點有爭議。
晨曦紀元	500年	魔導學院、鍊金議會、萬神殿建立，並著手修復、梳理魔網。
	700年	大陸魔網修復完畢，全大陸混戰終結，三大議會開始發行世界貨幣。\n世界貨幣之保證與穩定為沃金教會負責。
	800年	祈願術發明，確立傳奇法術的分級。
	972年	暗殺者協會、傭兵公會、吟遊詩人公會等大陸團體開始陸續成立。
	1000年	現今公國的勢力大致劃分完畢（依據大陸戰後和平協約）\n安姆帝國與安道爾王國例外。
黑暗紀元	1500年	第二次全大陸戰爭爆發（涉及黑暗種族）。\n同時第一次血戰牽涉到主位面。\n並有多明納里亞與非瑞克西亞位面勢力介入。
	1650年	魔網損毀，隔年三大議會全面介入戰爭。
	1670年	人類方內戰終結。
	1700年	第二次全大陸戰爭終結。
	1710年	黑暗種族和平協約確立並開始執行。
	1750年	黑暗精靈與部分黑暗種族選擇放逐至深淵位面。
輝光紀元	1900年	大陸魔網再次修復完畢。
	2000年	傳奇法術限制條約。\n（僅為高階施法者知曉）
	2109年	黑暗地下城市塔墓爾建設開始。
	2119年	塔墓爾建設完成，血族等黑暗種族遷入。
	2200年	星界正式公開發現，明面宣告確認主位面附近的6個半位面。
	2530年	由三大議明面宣告會攻下6個半位面，並開始統治半位面。
	3107年	十大公國聯盟建立。
	3240年	三大議會再次鞏固主位面的空間屏障工程（非公開情報）。
	3442年	第三次大陸戰爭，十大公國彼此結盟並爆發戰爭。
	3520年	三大議會介入、調停戰爭。
	3522年	第三次大陸戰爭終結。
	3525年	戰後協約簽訂完畢。
	3710年	三大議會開始淡出視野，並幾乎不介入公國事務。
	3980年	該隱一族與人類取得協議可重新行走於地面上。
	4001年	新人造位面起源誕生後隨即消失。
	4002年	三巨頭聖者、銜尾蛇、世界消失，三大議會群龍無首。\n晨星成為新興弱等神力、劍塚於扶桑公國誕生。\n艾莉絲教會開始被大力推廣。
	4100年	三大議會內亂並宣告封閉。
	4500年	陰影城從陰影位面遷移至位面並墜入扶桑公國。
	4505年	萬神殿率先重啟。
	4507年	魔導學院接著重啟。
	4508年	煉金議會最後宣告重啟、MIB部門成立、幻夢境誕生。
	4510年	龍戰發生。
	4520年	約翰學院成立。
	4530年	龍戰終結。\n公國簽署戰後條款。
